open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1755515700000,4272.78,4273.9,4272.05,4273.24,649.0079,1755515759999,2773229.919368,1127,363.3226,1552357.848533,0
1755515760000,4273.24,4274.89,4270.95,4270.95,405.7797,1755515819999,1734098.252199,1757,181.3425,774930.420324,0
1755515820000,4270.94,4271.56,4269.2,4271.54,196.4775,1755515879999,839007.182799,1421,79.1555,338001.844196,0
1755515880000,4271.53,4274.95,4271.39,4274.95,196.1159,1755515939999,838040.714593,1797,99.2577,424146.823101,0
1755515940000,4274.98,4277.77,4274.98,4276.81,172.5646,1755515999999,737965.639543,1637,128.0377,547532.429307,0
1755516000000,4276.81,4277.63,4275.48,4275.99,158.2088,1755516059999,676578.039152,1512,91.6854,392080.276176,0
1755516060000,4275.99,4276.0,4269.66,4270.28,149.9725,1755516119999,640667.073482,1970,57.6631,246278.923699,0
1755516120000,4270.27,4271.81,4268.66,4269.23,125.045,1755516179999,533956.753521,1600,45.1799,192920.188022,0
1755516180000,4269.24,4270.04,4268.31,4270.04,192.0167,1755516239999,819722.112857,1368,110.5696,471987.320256,0
1755516240000,4270.03,4274.36,4270.03,4272.52,132.7728,1755516299999,567243.335241,1719,45.5693,194674.801712,0
1755516300000,4272.53,4272.65,4270.58,4270.58,81.6389,1755516359999,348725.852096,1338,24.474,104540.952719,0
1755516360000,4270.58,4270.59,4268.35,4268.36,101.5635,1755516419999,433578.84396,760,19.1541,81781.271915,0
1755516420000,4268.35,4270.28,4268.35,4269.75,115.3504,1755516479999,492459.650423,743,51.8295,221251.871807,0
1755516480000,4269.75,4269.92,4268.08,4268.29,75.5775,1755516539999,322629.597723,720,27.2036,116124.254959,0
1755516540000,4268.29,4269.65,4268.29,4269.61,94.1947,1755516599999,402147.735106,751,30.3247,129461.756487,0
1755516600000,4269.61,4270.54,4266.15,4266.43,117.867,1755516659999,503040.487897,1414,62.6665,267455.856773,0
1755516660000,4266.44,4266.84,4260.0,4261.36,363.7655,1755516719999,1550361.639398,2616,102.3455,436108.71553,0
1755516720000,4261.35,4261.69,4256.66,4259.42,353.5476,1755516779999,1505773.242983,3564,164.3117,699888.060798,0
1755516780000,4259.41,4259.5,4256.2,4257.7,182.8094,1755516839999,778344.427797,2471,81.3547,346352.509276,0
1755516840000,4257.71,4260.68,4257.66,4258.56,227.3821,1755516899999,968382.494086,1876,121.3991,517035.31305,0
1755516900000,4258.57,4262.37,4255.42,4255.44,307.0249,1755516959999,1307509.280104,3199,98.3275,418806.87058,0
1755516960000,4255.44,4262.4,4255.44,4262.28,218.2188,1755517019999,929541.814565,2475,106.4681,453432.748293,0
1755517020000,4262.28,4262.28,4259.66,4261.14,226.984,1755517079999,967166.522241,2046,91.9364,391724.379783,0
1755517080000,4261.15,4264.36,4258.0,4259.43,628.7333,1755517139999,2679217.388164,2208,214.5385,914582.534715,0
1755517140000,4259.43,4260.46,4256.25,4257.19,99.2825,1755517199999,422780.053373,1641,42.7484,182062.022882,0
1755517200000,4257.19,4260.0,4255.45,4255.46,177.3069,1755517259999,754890.477182,1778,32.793,139642.049736,0
1755517260000,4255.45,4257.65,4252.89,4257.58,208.4379,1755517319999,886843.946297,2681,80.7336,343520.479831,0
1755517320000,4257.58,4258.99,4257.16,4257.52,140.7152,1755517379999,599157.767682,1267,58.8469,250568.976608,0
1755517380000,4257.52,4263.53,4256.2,4263.53,337.626,1755517439999,1437973.676166,2329,278.1375,1184651.569683,0
1755517440000,4263.53,4267.02,4263.1,4266.75,296.4395,1755517499999,1264228.788786,1497,203.3022,867036.303543,0
1755517500000,4266.75,4268.91,4265.22,4268.9,239.0465,1755517559999,1019984.027787,2398,180.5771,770513.35944,0
1755517560000,4268.91,4271.63,4266.09,4268.16,460.6104,1755517619999,1966446.812012,3008,319.4389,1363734.546427,0
1755517620000,4268.16,4270.85,4268.15,4270.79,214.4821,1755517679999,915848.743874,1379,137.3996,586666.596568,0
1755517680000,4270.79,4270.85,4268.8,4270.84,240.272,1755517739999,1025952.067938,1488,150.0973,640887.066352,0
1755517740000,4270.84,4274.46,4268.66,4269.52,231.1059,1755517799999,987192.226525,2223,84.4419,360731.355195,0
1755517800000,4269.51,4269.51,4264.76,4264.78,164.6841,1755517859999,702669.00573,1462,26.8503,114532.603713,0
1755517860000,4264.78,4265.38,4264.6,4264.6,70.7037,1755517919999,301530.368371,371,38.6624,164884.788846,0
1755517920000,4264.61,4270.61,4262.44,4268.71,771.4092,1755517979999,3290941.394907,2473,633.9373,2704348.695553,0
1755517980000,4268.71,4269.23,4265.76,4267.04,96.9208,1755518039999,413608.481949,1513,46.669,199145.320073,0
1755518040000,4267.04,4269.79,4267.02,4269.78,170.5544,1755518099999,728074.659499,1129,70.6224,301461.118802,0
1755518100000,4269.78,4270.74,4265.66,4265.89,103.0445,1755518159999,439906.196107,1754,43.1895,184405.257017,0
1755518160000,4265.9,4274.95,4265.39,4274.95,561.6924,1755518219999,2398073.079435,2341,514.6535,2197288.54278,0
1755518220000,4274.95,4277.55,4271.73,4276.4,545.8137,1755518279999,2333119.158579,3324,345.1674,1475470.931128,0
1755518280000,4276.41,4277.12,4274.3,4276.84,331.991,1755518339999,1419604.812285,1960,50.7449,216982.533826,0
1755518340000,4276.83,4277.0,4274.37,4274.37,145.56,1755518399999,622379.138109,1469,36.1182,154447.961449,0
1755518400000,4274.36,4275.43,4272.25,4272.89,279.6819,1755518459999,1195386.737871,3033,140.8398,601951.59482,0
1755518460000,4272.9,4274.0,4270.77,4272.52,194.9965,1755518519999,833041.29648,2720,149.4057,638266.639437,0
1755518520000,4272.52,4280.62,4272.51,4280.41,490.8423,1755518579999,2100134.539933,3102,403.2312,1725307.757926,0
1755518580000,4280.4,4287.5,4280.4,4287.35,616.1247,1755518639999,2639237.145766,4140,426.7533,1828152.836033,0
1755518640000,4287.34,4288.58,4283.0,4286.34,267.7848,1755518699999,1147594.954971,2806,191.5882,821043.451603,0
1755518700000,4286.35,4287.36,4283.78,4286.0,366.1225,1755518759999,1568959.535452,2806,130.8045,560551.068328,0
1755518760000,4285.99,4288.17,4284.2,4287.76,309.0983,1755518819999,1324931.361058,2095,263.6294,1130045.350194,0
1755518820000,4287.76,4296.59,4287.75,4294.92,374.7426,1755518879999,1608834.449918,3585,253.0279,1086306.524565,0
1755518880000,4294.92,4298.0,4294.08,4296.92,365.6108,1755518939999,1570737.298972,2911,179.6543,771807.424003,0
1755518940000,4296.91,4300.0,4294.41,4299.64,815.5538,1755518999999,3504542.045093,3286,533.0911,2291044.725951,0
1755519000000,4299.64,4303.67,4297.68,4302.53,684.7261,1755519059999,2944515.982724,2910,548.3616,2358063.385604,0
1755519060000,4302.52,4305.79,4301.4,4305.12,603.1793,1755519119999,2595525.899107,3126,343.8922,1479814.360585,0
1755519120000,4305.13,4306.72,4303.01,4306.7,349.3048,1755519179999,1503837.837647,2598,219.4566,944854.705025,0
1755519180000,4306.7,4306.97,4301.49,4302.37,272.1359,1755519239999,1171471.23112,1771,102.607,441717.63377,0
1755519240000,4302.37,4303.08,4296.73,4297.65,578.4007,1755519299999,2486828.075943,2458,58.7916,252776.923067,0
1755519300000,4297.65,4300.5,4297.0,4300.5,265.5198,1755519359999,1141296.276688,2116,133.3364,573167.645578,0
1755519360000,4300.5,4300.5,4294.23,4294.64,883.8388,1755519419999,3796977.850044,2015,211.1633,907197.719794,0
1755519420000,4294.63,4296.55,4292.39,4293.36,448.1367,1755519479999,1924280.853664,2146,207.5108,890948.85318,0
1755519480000,4293.35,4296.24,4292.06,4296.23,92.2705,1755519539999,396238.751872,1992,46.5515,199899.971789,0
1755519540000,4296.24,4300.45,4296.24,4299.09,203.6447,1755519599999,875326.752418,1941,141.1712,606769.24527,0
1755519600000,4299.09,4302.36,4298.81,4302.36,266.6207,1755519659999,1146534.263343,2215,181.1036,778735.904364,0
1755519660000,4302.36,4303.67,4300.83,4300.83,325.5479,1755519719999,1400465.662625,1746,132.4615,569818.032995,0
